Zotero Export,11/6/2015,(Not Applicable),Zotero/IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
X452JSBD,conferencePaper,2008,"Cole, Robert J.; Liu, Peng",Addressing Low Base Rates in Intrusion Detection via Uncertainty-Bounding Multi-Step Analysis,,978-0-7695-3447-3,,10.1109/ACSAC.2008.14,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=4721564,,Dec-08,8/11/2015 13:09,8/11/2015 13:55,8/11/2015 13:09,269-278,,,,,,,,,,,IEEE,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCMHWMP5,conferencePaper,2012,"Morais, Anderson; Cavalli, Ana",A Distributed Intrusion Detection Scheme for Wireless Ad Hoc Networks,Proceedings of the 27th Annual ACM Symposium on Applied Computing,978-1-4503-0857-1,,10.1145/2245276.2245382,http://doi.acm.org/10.1145/2245276.2245382,"Wireless ad hoc network is an emerging technology that is gaining popularity as a cost-effective way of offering end-to-end services, such as Internet access, in an inexpensive, practical, and fast manner. However, wireless ad hoc networks are particularly vulnerable to extern and insider attacks due to their very intrinsic nature such as shared wireless medium and decentralized architecture. In this paper, we present a distributed intrusion detection approach, which is based on exchange of events and cooperation between the participating nodes. The proposed mechanism relies on non-intrusive traffic monitoring at each node, which generates network events. These events are processed by the intrusion detection system that is able to instantly signalize malicious activities, for instance, a node disseminating fake routing information through the network. We demonstrate the approach efficiency for detecting misbehaving nodes through a virtualized network environment that consists of virtual nodes interconnected which represent the network topology.",2012,7/25/2014 19:55,7/25/2014 19:55,7/25/2014 19:55,556–562,,,,,,,SAC '12,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,C:\Users\Ryan\AppData\Roaming\Zotero\Zotero\Profiles\hn6tel97.default\zotero\storage\XM57N4XK\Morais and Cavalli - 2012 - A Distributed Intrusion Detection Scheme for Wirel.pdf,,network,intrusion detection; routing misbehavior; wireless ad hoc network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3EAHAFI,conferencePaper,2010,"Nehinbe, Joshua Ojo",A Framework for Evaluating Clustering Algorithm,,978-1-4244-9405-7,,10.1109/CloudCom.2010.90,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5708517,,Nov-10,8/11/2015 13:08,9/2/2015 18:34,8/11/2015 13:08,677-686,,,,,,,,,,,IEEE,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457NJ3JB,journalArticle,2015,"Tang, Lu-An; Yu, Xiao; Gu, Quanquan; Han, Jiawei; Jiang, Guofei; Leung, Alice; Porta, Thomas La",A Framework of Mining Trajectories from Untrustworthy Data in Cyber-Physical System,ACM Trans. Knowl. Discov. Data,,1556-4681,10.1145/2700394,http://doi.acm.org/10.1145/2700394,"A cyber-physical system (CPS) integrates physical (i.e., sensor) devices with cyber (i.e., informational) components to form a context-sensitive system that responds intelligently to dynamic changes in real-world situations. The CPS has wide applications in scenarios such as environment monitoring, battlefield surveillance, and traffic control. One key research problem of CPS is called mining lines in the sand. With a large number of sensors (sand) deployed in a designated area, the CPS is required to discover all trajectories (lines) of passing intruders in real time. There are two crucial challenges that need to be addressed: (1) the collected sensor data are not trustworthy, and (2) the intruders do not send out any identification information. The system needs to distinguish multiple intruders and track their movements. This study proposes a method called LiSM (Line-in-the-Sand Miner) to discover trajectories from untrustworthy sensor data. LiSM constructs a watching network from sensor data and computes the locations of intruder appearances based on the link information of the network. The system retrieves a cone model from the historical trajectories to track multiple intruders. Finally, the system validates the mining results and updates sensors’ reliability scores in a feedback process. In addition, LoRM (Line-on-the-Road Miner) is proposed for trajectory discovery on road networks—mining lines on the roads. LoRM employs a filtering-and-refinement framework to reduce the distance computational overhead on road networks and uses a shortest-path-measure to track intruders. The proposed methods are evaluated with extensive experiments on big datasets. The experimental results show that the proposed methods achieve higher accuracy and efficiency in trajectory mining tasks.",Feb-15,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 13:11,16:1–16:35,,3,9,,,,,,,,,,,,,,,ACM Digital Library,,,,,,,Cyber-physical system; sensor network; trajectory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8JQU46C8,journalArticle,2009,"Lin Chen; Leneutre, J.",A Game Theoretical Framework on Intrusion Detection in Heterogeneous Networks,IEEE Transactions on Information Forensics and Security,,1556-6013,10.1109/TIFS.2009.2019154,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=4815406,,Jun-09,8/11/2015 12:56,9/2/2015 18:36,8/11/2015 12:56,165-178,,2,4,,,,,,,,,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNX76VC4,journalArticle,2014,"Moosavi, Hussein; Bui, Francis Minhthang",A Game-Theoretic Framework for Robust Optimal Intrusion Detection in Wireless Sensor Networks,IEEE Transactions on Information Forensics and Security,,"1556-6013, 1556-6021",10.1109/TIFS.2014.2332816,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6842601,,Sep-14,8/11/2015 12:57,9/2/2015 18:36,8/11/2015 12:57,1367-1379,,9,9,,,,,,,,,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHI8ACEV,conferencePaper,2011,"Van Woensel, William; Casteleyn, Sven; De Troyer, Olga",A Generic Approach for On-the-fly Adding of Context-aware Features to Existing Websites,Proceedings of the 22Nd ACM Conference on Hypertext and Hypermedia,978-1-4503-0256-2,,10.1145/1995966.1995987,http://doi.acm.org/10.1145/1995966.1995987,"More and more, mobile devices act as personal information managers and are able to obtain rich contextual information on the user's environment. Mobile, context-aware web applications can exploit this information to better address the needs of mobile users. Currently, such websites are either developed separately from their associated desktop-oriented version, or both versions are created simultaneously by employing methodologies that support multi-platform context-aware websites, requiring an extensive engineering effort. While these approaches provide a solution for developing new websites, they go past the plethora of existing websites. To address this issue, we present an approach for enhancing existing websites on-the-fly with context-aware features. We first discuss the requirements for such an adaptation process, and identify applicable adaptation methods to realize context-aware features. Next, we explain our generic approach, which is grounded in the use of semantic information extracted from existing websites. Finally, we present a concrete application of our approach that is based on the SCOUT framework for mobile and context-aware application development.",2011,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 14:06,143–152,,,,,,,HT '11,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,,client-side adaptation; context-aware; mobile web; semantic web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPFT9C4U,conferencePaper,2011,"Ficco, Massimo; Romano, Luigi",A Generic Intrusion Detection and Diagnoser System Based on Complex Event Processing,,978-1-4577-1458-0,,10.1109/CCP.2011.43,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6061035,,Jun-11,8/11/2015 13:08,8/11/2015 13:55,8/11/2015 13:08,275-284,,,,,,,,,,,IEEE,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITVG82EI,conferencePaper,2013,"Marchesani, Stefano; Pomante, Luigi; Pugliese, Marco; Santucci, Fortunato",A Middleware Approach to Provide Security in IEEE 802.15.4 Wireless Sensor Networks,,978-1-936968-94-7,,10.1109/Mobilware.2013.21,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6775056,,Nov-13,8/11/2015 13:12,8/11/2015 13:55,8/11/2015 13:12,85-93,,,,,,,,,,,European Alliance for Innovation,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPUCVBM5,conferencePaper,2010,"Hidaka, Shohei; Yu, Chen",Analyzing Multimodal Time Series As Dynamical Systems,International Conference on Multimodal Interfaces and the Workshop on Machine Learning for Multimodal Interaction,978-1-4503-0414-6,,10.1145/1891903.1891968,http://doi.acm.org/10.1145/1891903.1891968,"We propose a novel approach to discovering latent structures from multimodal time series. We view a time series as observed data from an underlying dynamical system. In this way, analyzing multimodal time series can be viewed as finding latent structures from dynamical systems. In light this, our approach is based on the concept of generating partition which is the theoretically best symbolization of time series maximizing the information of the underlying original continuous dynamical system. However, generating partition is difficult to achieve for time series without explicit dynamical equations. Different from most previous approaches that attempt to approximate generating partition through various deterministic symbolization processes, our algorithm maintains and estimates a probabilistic distribution over a symbol set for each data point in a time series. To do so, we develop a Bayesian framework for probabilistic symbolization and demonstrate that the approach can be successfully applied to both simulated data and empirical data from multimodal agent-agent interactions. We suggest this unsupervised learning algorithm has a potential to be used in various multimodal datasets as first steps to identify underlying structures between temporal variables.",2010,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 14:02,53:1–53:8,,,,,,,ICMI-MLMI '10,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,,generating partition; multi-agent communication; multi-stream time series; symbol dynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XQEWRGNF,conferencePaper,1998,"Balasubramaniyan, J.S.; Garcia-Fernandez, J.O.; Isacoff, D.; Spafford, E.; Zamboni, D.",An architecture for intrusion detection using autonomous agents,"Computer Security Applications Conference, 1998. Proceedings. 14th Annual",,,10.1109/CSAC.1998.738563,,"The intrusion detection system architectures commonly used in commercial and research systems have a number of problems that limit their configurability, scalability or efficiency. The most common shortcoming in the existing architectures is that they are built around a single monolithic entity that does most of the data collection and processing. In this paper, we review our architecture for a distributed intrusion detection system based on multiple independent entities working collectively. We call these entities autonomous agents. This approach solves some of the problems previously mentioned. We present the motivation and description of the approach, partial results obtained from an early prototype, a discussion of design and implementation issues, and directions for future work",Dec-98,7/24/2014 19:08,7/24/2014 19:08,,13-24,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,C:\Users\Ryan\AppData\Roaming\Zotero\Zotero\Profiles\hn6tel97.default\zotero\storage\NGXWGXI4\abs_all.html; C:\Users\Ryan\AppData\Roaming\Zotero\Zotero\Profiles\hn6tel97.default\zotero\storage\EM2T7RGS\Balasubramaniyan et al. - 1998 - An architecture for intrusion detection using auto.pdf,,strategy,Authorization; autonomous agents; Contracts; data collection; data processing; distributed intrusion detection system; Ear; Event detection; intrusion detection; intrusion detection system architectures; Laboratories; MONOS devices; multi-agent systems; multiple independent entities; Prototypes; Read only memory; security of data; software agents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Computer Security Applications Conference, 1998. Proceedings. 14th Annual",,,,,,,,,,,,,,,
Z5DV6QRW,conferencePaper,2009,"Ou, Xinming; Rajagopalan, Siva Raj; Sakthivelmurugan, Sakthiyuvaraja",An Empirical Approach to Modeling Uncertainty in Intrusion Analysis,,978-1-4244-5327-6 978-0-7695-3919-5,,10.1109/ACSAC.2009.53,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5380706,,Dec-09,8/11/2015 13:09,8/11/2015 13:55,8/11/2015 13:09,494-503,,,,,,,,,,,IEEE,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73BH7J7Z,conferencePaper,2006,"Tulone, Daniela; Madden, Samuel",An Energy-efficient Querying Framework in Sensor Networks for Detecting Node Similarities,Proceedings of the 9th ACM International Symposium on Modeling Analysis and Simulation of Wireless and Mobile Systems,978-1-59593-477-2,,10.1145/1164717.1164768,http://doi.acm.org/10.1145/1164717.1164768,"We propose an energy-efficient framework, called SAF, for approximate querying and clustering of nodes in a sensor network. SAF uses simple time series forecasting models to predict sensor readings. The idea is to build these local models at each node, transmit them to the root of the network (the ""sink""), and use them to approximately answer user queries. Our approach dramatically reduces communication relative to previous approaches for querying sensor networks by exploiting properties of these local models, since each sensor communicates with the sink only when its local model varies due to changes in the underlying data distribution. In our experimental results performed on a trace of real data, we observed on average about 150 message transmissions from each sensor over a week (including the learning phase) to correctly predict temperatures to within +/- 0.5°C.SAF also provides a mechanism to detect data similarities between nodes and organize nodes into clusters at the sink at no additional communication cost. This is again achieved by exploiting properties of our local time series models, and by means of a novel definition of data similarity between nodes that is based not on raw data but on the prediction values. Our clustering algorithm is both very efficient and provably optimal in the number of clusters. Our clusters have several interesting features: first, they can capture similarity between far away nodes that are not geographically adjacent; second, cluster membership to variations in sensors' local models; third, nodes within a cluster are not required to track the membership of other nodes in the cluster. We present a number of simulation-based experimental results that demonstrate these properties of SAF.",2006,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 13:53,191–300,,,,,,,MSWiM '06,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,,data collection; data stream; energy; models; query; sensor networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCGWT4IW,conferencePaper,2006,"Orebaugh, Angela",An Instant Messaging Intrusion Detection System Framework: Using character frequency analysis for authorship identification and validation,,978-1-4244-0174-1,,10.1109/CCST.2006.313445,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=4105332,,Oct-06,8/11/2015 12:57,8/11/2015 13:55,8/11/2015 12:57,160-172,,,,,,An Instant Messaging Intrusion Detection System Framework,,,,,IEEE,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASARW2W5,conferencePaper,2010,"Chang, Katharine; Shin, Kang G.",Application-Layer Intrusion Detection in MANETs,,978-1-4244-5509-6,,10.1109/HICSS.2010.65,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5428421,,2010,8/11/2015 13:11,8/11/2015 13:55,8/11/2015 13:11,10-Jan,,,,,,,,,,,IEEE,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JX8SPZSU,journalArticle,2012,"Singh, Indu; Kumar, Manoj",A Proposed Model for Data Warehouse User Behaviour Using Intrusion Detection System,SIGSOFT Softw. Eng. Notes,,0163-5948,10.1145/2382756.2382771,http://doi.acm.org/10.1145/2382756.2382771,"Data Warehouse (DW) systems maintain sensitive and crucial information, which is integrated from various heterogenous sources of organization. With the ever increasing deployment and usage of networks, these systems are becoming more vulnerable to malicious attacks. With the increased number of attacks, intrusion detection has become vital part of Information Security. In this paper, we have proposed a model for analyzing and detecting anomalous events based on user behavior analysis through usage patterns, user profiles and session management. After monitoring the events in the system, if any intrusion activity occurs, then alerts are issued to system administrators. Since a user profile is not necessarily fixed but rather it evolves with changing time, so a dynamic user behavior modeling is represented as a sequence of events and combination of fact and dimension tables accessed by the users. In this way, DW systems may be protected by the malicious attacks.",Nov-12,7/28/2014 23:09,7/28/2014 23:09,7/28/2014 23:09,1–7,,6,37,,,,,,,,,,,,,,,ACM Digital Library,,,,C:\Users\Ryan\AppData\Roaming\Zotero\Zotero\Profiles\hn6tel97.default\zotero\storage\WACIT9W5\Singh and Kumar - 2012 - A Proposed Model for Data Warehouse User Behaviour.pdf,,strategy,data warehouse; Information security; intrusion detection system; user behaviour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQIZ9H9G,conferencePaper,2009,"Powell, Michael D.; Biswas, Arijit; Gupta, Shantanu; Mukherjee, Shubhendu S.",Architectural Core Salvaging in a Multi-core Processor for Hard-error Tolerance,Proceedings of the 36th Annual International Symposium on Computer Architecture,978-1-60558-526-0,,10.1145/1555754.1555769,http://doi.acm.org/10.1145/1555754.1555769,"The incidence of hard errors in CPUs is a challenge for future multicore designs due to increasing total core area. Even if the location and nature of hard errors are known a priori, either at manufacture-time or in the field, cores with such errors must be disabled in the absence of hard-error tolerance. While caches, with their regular and repetitive structures, are easily covered against hard errors by providing spare arrays or spare lines, structures within a core are neither as regular nor as repetitive. Previous work has proposed microarchitectural core salvaging to exploit structural redundancy within a core and maintain functionality in the presence of hard errors. Unfortunately microarchitectural salvaging introduces complexity and may provide only limited coverage of core area against hard errors due to a lack of natural redundancy in the core. This paper makes a case for architectural core salvaging. We observe that even if some individual cores cannot execute certain operations, a CPU die can be instruction-set-architecture (ISA) compliant, that is execute all of the instructions required by its ISA, by exploiting natural cross-core redundancy. We propose using hardware to migrate offending threads to another core that can execute the operation. Architectural core salvaging can cover a large core area against faults, and be implemented by leveraging known techniques that minimize changes to the microarchitecture. We show it is possible to optimize architectural core salvaging such that the performance on a faulty die approaches that of a fault-free die--assuring significantly better performance than core disabling for many workloads and no worse performance than core disabling for the remainder.",2009,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 13:15,93–104,,,,,,,ISCA '09,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,,core salvaging; hard errors; redundancy; reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCQJ975G,conferencePaper,2013,"Hamilton, John A.",Architecture-based network simulation for cyber security,,978-1-4799-3950-3 978-1-4799-2077-8,,10.1109/WSC.2013.6721660,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6721660,,Dec-13,8/11/2015 13:18,8/11/2015 13:55,8/11/2015 13:18,2914-2922,,,,,,,,,,,IEEE,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99DVW8JA,journalArticle,2006,"Dobson, Simon; Denazis, Spyros; Fernández, Antonio; Gaïti, Dominique; Gelenbe, Erol; Massacci, Fabio; Nixon, Paddy; Saffre, Fabrice; Schmidt, Nikita; Zambonelli, Franco",A Survey of Autonomic Communications,ACM Trans. Auton. Adapt. Syst.,,1556-4665,10.1145/1186778.1186782,http://doi.acm.org/10.1145/1186778.1186782,"Autonomic communications seek to improve the ability of network and services to cope with unpredicted change, including changes in topology, load, task, the physical and logical characteristics of the networks that can be accessed, and so forth. Broad-ranging autonomic solutions require designers to account for a range of end-to-end issues affecting programming models, network and contextual modeling and reasoning, decentralised algorithms, trust acquisition and maintenance---issues whose solutions may draw on approaches and results from a surprisingly broad range of disciplines. We survey the current state of autonomic communications research and identify significant emerging trends and techniques.",Dec-06,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 14:02,223–259,,2,1,,,,,,,,,,,,,,,ACM Digital Library,,,,,,,Autonomic; communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZQIRPE7V,journalArticle,2014,"Medina, Violeta; García, Juan Manuel",A Survey of Migration Mechanisms of Virtual Machines,ACM Comput. Surv.,,0360-0300,10.1145/2492705,http://doi.acm.org/10.1145/2492705,"In the virtualization area, replication has been considered as a mechanism to provide high availability. A high-availability system should be active most of the time, and this is the reason that its design should consider almost zero downtime and a minimal human intervention if a recovery process is demanded. Several migration and replication mechanisms have been developed to provide high availability inside virtualized environments. In this article, a survey of migration mechanisms is reported. These approaches are classified in three main classes: process migration, memory migration, and suspend/resume migration.",Jan-14,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 14:07,30:1–30:33,,3,46,,,,,,,,,,,,,,,ACM Digital Library,,,,,,,High availability; migration; replication; virtualization; virtual machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3MHPB7U,conferencePaper,2013,"Ku, Chih-Hao; Leroy, Gondy",Automated Crime Report Analysis and Classification for e-Government and Decision Support,Proceedings of the 14th Annual International Conference on Digital Government Research,978-1-4503-2057-3,,10.1145/2479724.2479732,http://doi.acm.org/10.1145/2479724.2479732,"With an increasing number of anonymous crime tips and reports being filed and digitized, it is generally difficult for crime analysts to process and analyze crime reports efficiently. We are developing a decision support system (DSS), combining Natural Language Processing (NLP) techniques, a document similarity measure, and machine learning, i.e., a Naïve Bayes' classifier, to support crime analysis and classify which crime reports discuss the same and different crime. The DSS is developed with text mining techniques and evaluated with an active crime analyst. We report here on an experiment that includes two datasets with 40 and 60 crime reports and 16 different types of crimes for each dataset. The results show that our system achieved the highest classification accuracy (94.82%), while the crime analyst's classification accuracy (93.74%) is slightly lower.",2013,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 14:11,18–27,,,,,,,dg.o '13,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,,classification; natural language processing; similarity measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAAA87CV,conferencePaper,2006,"Massicotte, Frederic; Gagnon, Francois; Labiche, Yvan; Briand, Lionel; Couture, Mathieu",Automatic Evaluation of Intrusion Detection Systems,,978-0-7695-2716-1,,10.1109/ACSAC.2006.15,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=4041181,,Dec-06,8/11/2015 13:08,8/11/2015 13:55,8/11/2015 13:08,361-370,,,,,,,,,,,IEEE,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCAXWCFD,journalArticle,2006,"Baker, Zachary; Prasanna, Viktor",Automatic Synthesis of Efficient Intrusion Detection Systems on FPGAs,IEEE Transactions on Dependable and Secure Computing,,1545-5971,10.1109/TDSC.2006.44,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=4012642,,Oct-06,8/11/2015 13:01,9/22/2015 15:13,8/11/2015 13:01,289-300,,4,3,,,,,,,,,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MDM74S4,conferencePaper,2009,"Li, Zhichun; Goyal, Anup; Chen, Yan; Paxson, Vern",Automating Analysis of Large-scale Botnet Probing Events,"Proceedings of the 4th International Symposium on Information, Computer, and Communications Security",978-1-60558-394-5,,10.1145/1533057.1533063,http://doi.acm.org/10.1145/1533057.1533063,"Botnets dominate today's attack landscape. In this work we investigate ways to analyze collections of malicious probing traffic in order to understand the significance of large-scale ""botnet probes"". In such events, an entire collection of remote hosts together probes the address space monitored by a sensor in some sort of coordinated fashion. Our goal is to develop methodologies by which sites receiving such probes can infer---using purely local observation---information about the probing activity: What scanning strategies does the probing employ? Is this an attack that specifically targets the site, or is the site only incidentally probed as part of a larger, indiscriminant attack? Our analysis draws upon extensive honeynet data to explore the prevalence of different types of scanning, including properties such as trend, uniformity, coordination, and darknet avoidance. In addition, we design schemes to extrapolate the global properties of scanning events (e.g., total population and target scope) as inferred from the limited local view of a honeynet. Cross-validating with data from DShield shows that our inferences exhibit promising accuracy.",2009,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 13:06,11–22,,,,,,,ASIACCS '09,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,,botnet; global property extrapolation; honeynet; scan strategy inference; situational awareness; statistical inference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
