Zotero Export,11/6/2015,(Tagged papers),Zotero/IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
GUCXPPMD,conferencePaper,2009,"Pungila, Ciprian-Petrisor",A Bray-Curtis Weighted Automaton for Detecting Malicious Code Through System-Call Analysis,,978-1-4244-5910-0,,10.1109/SYNASC.2009.41,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5460823,,Sep-09,8/11/2015 13:12,8/11/2015 14:06,8/11/2015 13:12,392-400,,,,,,,,,,,IEEE,,,,,,,CrossRef,,,,,,memory_usage; scanning_time; syscalls_per_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6PF9AUB,conferencePaper,2012,"Poston, Howard E.",A brief taxonomy of intrusion detection strategies,,978-1-4673-2792-3 978-1-4673-2791-6 978-1-4673-2790-9,,10.1109/NAECON.2012.6531064,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6531064,,Jul-12,8/11/2015 13:12,9/2/2015 18:36,8/11/2015 13:12,255-263,,,,,,,,,,,IEEE,,,,,,,CrossRef,,,,,,lit_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHBTRC2D,conferencePaper,2011,"Chen, Xinming; Ge, Kailin; Chen, Zhen; Li, Jun",AC-Suffix-Tree: Buffer Free String Matching on Out-of-Sequence Packets,,978-1-4577-1454-2,,10.1109/ANCS.2011.14,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6062710,,Oct-11,8/11/2015 13:18,8/11/2015 13:55,8/11/2015 13:18,36-44,,,,,,AC-Suffix-Tree,,,,,IEEE,,,,,,,CrossRef,,,,,,custom_test_data; memory_usage; num_states; throughput,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJHJ87IC,conferencePaper,2008,"Makanju, Adetokunbo; Zincir-Heywood, Nur; Milios, Evangelos",Adaptabilty of a GP Based IDS on Wireless Networks,,978-0-7695-3102-1,,10.1109/ARES.2008.50,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=4529352,,Mar-08,8/11/2015 13:12,8/11/2015 13:55,8/11/2015 13:12,310-318,,,,,,,,,,,IEEE,,,,,,,CrossRef,,,,,,false_postive_rate; recall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VU5U37RI,conferencePaper,1999,"Lee, Wenke; Stolfo, S.J.; Mok, K.W.",A data mining framework for building intrusion detection models,"Proceedings of the 1999 IEEE Symposium on Security and Privacy, 1999",,,10.1109/SECPRI.1999.766909,,"There is often the need to update an installed intrusion detection system (IDS) due to new attack methods or upgraded computing environments. Since many current IDSs are constructed by manual encoding of expert knowledge, changes to IDSs are expensive and slow. We describe a data mining framework for adaptively building Intrusion Detection (ID) models. The central idea is to utilize auditing programs to extract an extensive set of features that describe each network connection or host session, and apply data mining programs to learn rules that accurately capture the behavior of intrusions and normal activities. These rules can then be used for misuse detection and anomaly detection. New detection models are incorporated into an existing IDS through a meta-learning (or co-operative learning) process, which produces a meta detection model that combines evidence from multiple models. We discuss the strengths of our data mining programs, namely, classification, meta-learning, association rules, and frequent episodes. We report on the results of applying these programs to the extensively gathered network audit data for the 1998 DARPA Intrusion Detection Evaluation Program",1999,7/24/2014 17:08,7/24/2014 17:08,,120-132,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,C:\Users\Ryan\AppData\Roaming\Zotero\Zotero\Profiles\hn6tel97.default\zotero\storage\23FU4ETI\abs_all.html; C:\Users\Ryan\AppData\Roaming\Zotero\Zotero\Profiles\hn6tel97.default\zotero\storage\4WR9P2XR\Lee et al. - 1999 - A data mining framework for building intrusion det.pdf,,DarpaIDE; false_positive_rate; num_features; true_positive_rate,1998 DARPA Intrusion Detection Evaluation Program; anomaly detection; association rules; auditing; auditing programs; authorisation; Buildings; computer network management; Computer networks; Computer science; co-operative learning; data mining framework; Data security; Encoding; expert knowledge; Expert systems; frequent episodes; Gas detectors; host session; Identity-based encryption; IDS update; intrusion detection models; learning (artificial intelligence); manual encoding; meta detection model; meta-learning; misuse detection; multiple models; network connection; Protection; upgraded computing environments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of the 1999 IEEE Symposium on Security and Privacy, 1999",,,,,,,,,,,,,,,
KE2AAD8P,conferencePaper,2006,"Kumar, Sailesh; Turner, Jonathan; Williams, John",Advanced Algorithms for Fast and Scalable Deep Packet Inspection,Proceedings of the 2006 ACM/IEEE Symposium on Architecture for Networking and Communications Systems,978-1-59593-580-9,,10.1145/1185347.1185359,http://doi.acm.org/10.1145/1185347.1185359,"Modern deep packet inspection systems use regular expressions to define various patterns of interest in network data streams. Deterministic Finite Automata (DFA) are commonly used to parse regular expressions. DFAs are fast, but can require prohibitively large amounts of memory for patterns arising in network applications. Traditional DFA table compression only slightly reduces the memory required and requires an additional memory access per input character. Alternative representations of regular expressions, such as NFAs and Delayed Input DFAs (D2FA) require less memory but sacrifice throughput. In this paper we introduce the Content Addressed Delayed Input DFA (CD2FA), which provides a compact representation of regular expressions that match the throughput of traditional uncompressed DFAs. A CD2FA addresses successive states of a D2FA using their content, rather than a ""content-less"" identifier. This makes selected information available earlier in the state traversal process, which makes it possible to avoid unnecessary memory accesses. We demonstrate that such content-addressing can be effectively used to obtain automata that are very compact and can achieve high throughput. Specifically, we show that for an application using thousands of patterns defined by regular expressions, CD2FAs use as little as 10% of the space required by a conventional compressed DFA, and match the throughput of an uncompressed DFA.",2006,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 14:01,81–92,,,,,,,ANCS '06,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,Cisco_regex; memory_usage; num_states; num_transitions,deep packet inspection; DFA; regular expressions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDPV84M6,journalArticle,2010,"Bartoli, Alberto; Davanzo, Giorgio; Medvet, Eric",A Framework for Large-Scale Detection of Web Site Defacements,ACM Trans. Internet Technol.,,1533-5399,10.1145/1852096.1852098,http://doi.acm.org/10.1145/1852096.1852098,"Web site defacement, the process of introducing unauthorized modifications to a Web site, is a very common form of attack. In this paper we describe and evaluate experimentally a framework that may constitute the basis for a defacement detection service capable of monitoring thousands of remote Web sites systematically and automatically. In our framework an organization may join the service by simply providing the URLs of the resources to be monitored along with the contact point of an administrator. The monitored organization may thus take advantage of the service with just a few mouse clicks, without installing any software locally or changing its own daily operational processes. Our approach is based on anomaly detection and allows monitoring the integrity of many remote Web resources automatically while remaining fully decoupled from them, in particular, without requiring any prior knowledge about those resources. We evaluated our approach over a selection of dynamic resources and a set of publicly available defacements. The results are very satisfactory: all attacks are detected while keeping false positives to a minimum. We also assessed performance and scalability of our proposal and we found that it may indeed constitute the basis for actually deploying the proposed service on a large scale.",Oct-10,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 13:59,10:1–10:37,,3,10,,,,,,,,,,,,,,,ACM Digital Library,,,,,,custom_test_data; false_negative_rate; false_positive_rate; max_resources,experimental evaluation; intrusion detection; monitoring service; Web site defacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FZ3S63UD,conferencePaper,2008,"Fries, Terrence P.",A Fuzzy-genetic Approach to Network Intrusion Detection,Proceedings of the 10th Annual Conference Companion on Genetic and Evolutionary Computation,978-1-60558-131-6,,10.1145/1388969.1389037,http://doi.acm.org/10.1145/1388969.1389037,"Computer networks have expanded significantly in use and numbers. This expansion makes them more vulnerable to attack by unwanted agents. Many current intrusion detection systems (IDS) are unable to identify unknown or mutated attack modes or are unable to operate in a dynamic environment as is necessary with mobile networks. As a result, it is necessary to find new ways to implement and operate intrusion detection systems. Genetic-based systems offer to ability to adapt to changing environments, robustness to noise and the ability to identify unknown attack methods. This paper presents a fuzzy-genetic approach to intrusion detection that is shown to increase the performance of an IDS.",2008,7/28/2014 22:07,7/28/2014 22:07,7/28/2014 22:07,2141–2146,,,,,,,GECCO '08,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,C:\Users\Ryan\AppData\Roaming\Zotero\Zotero\Profiles\hn6tel97.default\zotero\storage\PMW5AKGH\Fries - 2008 - A Fuzzy-genetic Approach to Network Intrusion Dete.pdf,,false_positive_rate; KDD99; num_features; true_positive_rate,fuzzy sets; genetic algorithms; intrusion detection; security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HQQX3F7H,conferencePaper,2006,"Diaz-gomez, Pedro; Hougen, Dean",A Genetic Algorithm Approach for Doing Misuse Detection in Audit Trail Files,,978-0-7695-2708-6,,10.1109/CIC.2006.6,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=4023829,,Nov-06,8/11/2015 13:08,8/11/2015 13:55,8/11/2015 13:08,329-338,,,,,,,,,,,IEEE,,,,,,,CrossRef,,,,,,num_generations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCI4SPSK,journalArticle,2013,"Jiang, F.; Daoyi Dong; Longbing Cao; Frater, M. R.",Agent-Based Self-Adaptable Context-Aware Network Vulnerability Assessment,IEEE Transactions on Network and Service Management,,1932-4537,10.1109/TNSM.2013.090313.120388,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6599023,,Sep-13,8/11/2015 12:53,8/11/2015 13:55,8/11/2015 12:53,255-270,,3,10,,,,,,,,,,,,,,,CrossRef,,,,,,computational_time; false_postive_rate; recall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEUBX48N,conferencePaper,2006,"Kumar, Sailesh; Dharmapurikar, Sarang; Yu, Fang; Crowley, Patrick; Turner, Jonathan",Algorithms to Accelerate Multiple Regular Expressions Matching for Deep Packet Inspection,"Proceedings of the 2006 Conference on Applications, Technologies, Architectures, and Protocols for Computer Communications",978-1-59593-308-9,,10.1145/1159913.1159952,http://doi.acm.org/10.1145/1159913.1159952,"There is a growing demand for network devices capable of examining the content of data packets in order to improve network security and provide application-specific services. Most high performance systems that perform deep packet inspection implement simple string matching algorithms to match packets against a large, but finite set of strings. owever, there is growing interest in the use of regular expression-based pattern matching, since regular expressions offer superior expressive power and flexibility. Deterministic finite automata (DFA) representations are typically used to implement regular expressions. However, DFA representations of regular expression sets arising in network applications require large amounts of memory, limiting their practical application.In this paper, we introduce a new representation for regular expressions, called the Delayed Input DFA (D2FA), which substantially reduces space equirements as compared to a DFA. A D2FA is constructed by transforming a DFA via incrementally replacing several transitions of the automaton with a single default transition. Our approach dramatically reduces the number of distinct transitions between states. For a collection of regular expressions drawn from current commercial and academic systems, a D2FA representation reduces transitions by more than 95%. Given the substantially reduced space equirements, we describe an efficient architecture that can perform deep packet inspection at multi-gigabit rates. Our architecture uses multiple on-chip memories in such a way that each remains uniformly occupied and accessed over a short duration, thus effectively distributing the load and enabling high throughput. Our architecture can provide ostffective packet content scanning at OC-192 rates with memory requirements that are consistent with current ASIC technology.",2006,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 13:09,339–350,,,,,,,SIGCOMM '06,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,Cisco_regex; default_length; num_distinct_transitions; num_duplicate_transitions; num_states; num_transitions,deep packet inspection; DFA; regular expressions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG2HRSBU,conferencePaper,2015,"Owezarski, Philippe",A Near Real-Time Algorithm for Autonomous Identification and Characterization of Honeypot Attacks,"Proceedings of the 10th ACM Symposium on Information, Computer and Communications Security",978-1-4503-3245-3,,10.1145/2714576.2714580,http://doi.acm.org/10.1145/2714576.2714580,"Monitoring communication networks and their traffic is of essential importance for estimating the risk in the Internet, and therefore designing suited protection systems for computer networks. Network and traffic analysis can be done thanks to measurement devices or honeypots. However, analyzing the huge amount of gathered data, and characterizing the anomalies and attacks contained in these traces remain complex and time consuming tasks, done by network and security experts using poorly automatized tools, and are consequently slow and costly. In this paper, we present an unsupervised algorithm - called UNADA for Unsupervised Network Anomaly Detection Algorithm - for identification and characterization of security related anomalies and attacks occurring in honeypots. This automatized method does not need any attack signature database, learning phase, or labeled traffic. This corresponds to a major step towards autonomous security systems. This paper also shows how it is possible from anomalies characterization results to infer filtering rules that could serve for automatically configuring network routers, switches or firewalls. The performances of UNADA in terms of attacks identification accuracy are evaluated using honeypot traffic traces gathered on the honeypot network of the University of Maryland. The time latency for producing such accurate results are also presented, especially showing how the parallelization capabilities of the algorithm help reducing this latency.",2015,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 13:56,531–542,,,,,,,ASIA CCS '15,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,computational_time; custom_test_data; false_positive_rate; true_positive_rate,anomaly characterization; autonomous security systems; big traffic data; honeypot attack identification; unsupervised machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M75PS3MF,conferencePaper,2009,"Akujobi, Frank; Lambadaris, Ioannis; Kranakis, Evangelos",An Integrated Approach to Detection of Fast and Slow Scanning Worms,"Proceedings of the 4th International Symposium on Information, Computer, and Communications Security",978-1-60558-394-5,,10.1145/1533057.1533071,http://doi.acm.org/10.1145/1533057.1533071,"The propagation speed of fast scanning worms and the stealthy nature of slow scanning worms present unique challenges to intrusion detection. Typically, techniques optimized for detection of fast scanning worms fail to detect slow scanning worms, and vice versa. In practice, there is interest in developing an integrated approach to detecting both classes of worms. In this paper, we propose and analyze a unique integrated detection approach capable of detecting and identifying traffic flow(s) responsible for simultaneous fast and slow scanning malicious worm attacks. The approach uses a combination of evidence from distributed host-based anomaly detectors, a self-adapting profiler and Bayesian inference from network heuristics to detect intrusion activity due to both fast and slow scanning worms. We assume that the extreme nature of fast scanning worm epidemics make them well suited for extreme value theory and use sample mean excess function to determine appropriate thresholds for detection of such worms. Random scanning worm behavior is considered in analyzing the stochastic time intervals that affect behavior of the detection technique. Based on the analysis, a probability model for worm detection interval using the detection scheme was developed. Simulations are used to validate our assumptions and analysis.",2009,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 14:06,80–91,,,,,,,ASIACCS '09,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,rep_lat; scan_rate,anomaly detection; Bayesian inference; detection interval; intrusion detection; probability model; worms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z47FSQFR,journalArticle,1993,"Lunt, Teresa F.",A survey of intrusion detection techniques,Computers & Security,,0167-4048,10.1016/0167-4048(93)90029-5,http://www.sciencedirect.com/science/article/pii/0167404893900295,"Today's computer systems are vulnerable both to abuse by insiders and to penetration by outsiders, as evidenced by the growing number of incidents reported in the press. To close all security loopholes from today's systems is infeasible, and no combination of technologies can prevent legitimate users from abusing their authority in a system; thus auditing is viewed as the last line of defense. Over the past several years, the computer security community has been developing automated tools to analyze computer system audit data for suspicious user behavior. This paper describes the use of such tools for detecting computer system intrusion and describes further technologies that may be of use for intrusion detection in the future.",Jun-93,7/24/2014 17:11,7/24/2014 17:11,7/24/2014 17:11,405-418,,4,12,,Computers & Security,,,,,,,,,,,,,ScienceDirect,,,,C:\Users\Ryan\AppData\Roaming\Zotero\Zotero\Profiles\hn6tel97.default\zotero\storage\T4KMBB8J\Lunt - 1993 - A survey of intrusion detection techniques.pdf; C:\Users\Ryan\AppData\Roaming\Zotero\Zotero\Profiles\hn6tel97.default\zotero\storage\BVQZ8QS6\0167404893900295.html,,lit_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8SB5XA5P,conferencePaper,2011,"Szabó, Géza; Turányi, Zoltán; Toka, László; Molnár, Sándor; Santos, Alysson",Automatic Protocol Signature Generation Framework for Deep Packet Inspection,Proceedings of the 5th International ICST Conference on Performance Evaluation Methodologies and Tools,978-1-936968-09-1,,,http://dl.acm.org/citation.cfm?id=2151688.2151721,"We present an automatic application protocol signature generating framework for Deep Packet Inspection (DPI) techniques with performance evaluation. We propose to utilize algorithms from the field of bioinformatics. We also present preprocessing methods to accelerate our system. Moreover, we developed several postprocessing techniques to refine the accuracy of the results. Finally, we propose a DPI system, based on approximate string matching, and find it a viable, novel alternative for the refinement of exact string matching algorithm's results.",2011,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 13:08,291–299,,,,,,,VALUETOOLS '11,,,,"ICST (Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering)","ICST, Brussels, Belgium, Belgium",,,,,,ACM Digital Library,,,,,,computational_time; coverage_flow; custom_test_data,automatic protocol signature generation; deep packet inspection; motif finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRE7WFVR,conferencePaper,2010,"Goodstein, Michelle L.; Vlachos, Evangelos; Chen, Shimin; Gibbons, Phillip B.; Kozuch, Michael A.; Mowry, Todd C.",Butterfly Analysis: Adapting Dataflow Analysis to Dynamic Parallel Monitoring,Proceedings of the Fifteenth Edition of ASPLOS on Architectural Support for Programming Languages and Operating Systems,978-1-60558-839-1,,10.1145/1736020.1736050,http://doi.acm.org/10.1145/1736020.1736050,"Online program monitoring is an effective technique for detecting bugs and security attacks in running applications. Extending these tools to monitor parallel programs is challenging because the tools must account for inter-thread dependences and relaxed memory consistency models. Existing tools assume sequential consistency and often slow down the monitored program by orders of magnitude. In this paper, we present a novel approach that avoids these pitfalls by not relying on strong consistency models or detailed inter-thread dependence tracking. Instead, we only assume that events in the distant past on all threads have become visible; we make no assumptions on (and avoid the overheads of tracking) the relative ordering of more recent events on other threads. To overcome the potential state explosion of considering all the possible orderings among recent events, we adapt two techniques from static dataflow analysis, reaching definitions and reaching expressions, to this new domain of dynamic parallel monitoring. Significant modifications to these techniques are proposed to ensure the correctness and efficiency of our approach. We show how our adapted analysis can be used in two popular memory and security tools. We prove that our approach does not miss errors, and sacrifices precision only due to the lack of a relative ordering among recent events. Moreover, our simulation study on a collection of Splash-2 and Parsec 2.0 benchmarks running a memory-checking tool on a hardware-assisted logging platform demonstrates the potential benefits in trading off a very low false positive rate for (i) reduced overhead and (ii) the ability to run on relaxed consistency models.",2010,8/11/2015 14:37,8/11/2015 14:37,8/11/2015 13:08,257–270,,,,,,Butterfly Analysis,ASPLOS XV,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,computational_time; custom_test_data; precision,data flow analysis; dynamic program monitoring; parallel programming; static analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
